Commit,Target Amount,Amount,Expiration Date,Name,Client Batch Quarter
,3134.09,3134.09,07/01/2013,Opp-ZARA Linz          TRU-Q3 2013-1,Q3 2013
,2104.72,2104.72,07/01/2013,Opp-ZARA Kärntner Stra TRU-Q3 2013-1,Q3 2013
,3680.98,3680.98,07/01/2013,Opp-ZARA Klagenfurt    TRU-Q3 2013-1,Q3 2013
,4232.47,4232.47,07/01/2013,Opp-ZARA Innsbruck     TRU-Q3 2013-1,Q3 2013
,5346.76,5346.76,07/01/2013,Opp-ZARA Haas Haus     TRU-Q3 2013-1,Q3 2013
,3049.31,3049.31,07/01/2013,Opp-ZARA Graz          TRU-Q3 2013-1,Q3 2013
,3500.2,3500.2,07/01/2013,Opp-ZARA Donauzentrum  TRU-Q3 2013-1,Q3 2013
,6206.2,6206.2,07/01/2013,Opp-A1 TELEKOM AUSTRIA AG-Q3 2013-1,Q3 2013
,497.28,497.28,07/01/2013,Opp-Weiss Harald       TRU-Q3 2013-1,Q3 2013
,16306.97,16306.97,07/01/2013,Opp-ABB SCHWEIZ AG-Q3 2013-1,Q3 2013
,481.32,481.32,07/01/2013,Opp-ADEG Schwabl Manue TRU-Q3 2013-1,Q3 2013
,154.71,154.71,07/01/2013,Opp-Umdasch Aktiengesellsc-Q3 2013-1,Q3 2013
,62357.04,62357.04,07/01/2013,Opp-UNICREDIT BUSINESS INT-Q3 2013-1,Q3 2013
,1073.23,1073.23,07/01/2013,Opp-UMDASCH AG-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,146.88,146.88,07/01/2013,Opp-AG BUERO 70-Q3 2013-1,Q3 2013
,2966.25,2966.25,07/01/2013,Opp-Technoglas-Q3 2013-1,Q3 2013
,3597.85,3597.85,07/01/2013,Opp-Stadtwerke Bruck-Q3 2013-1,Q3 2013
,295.29,295.29,07/01/2013,Opp-STVAR/SISA STUDIO INFORMATICA-Q3 2013-1,Q3 2013
,2585.28,2585.28,07/01/2013,Opp-PAYLIFE BANK GMBH-Q3 2013-1,Q3 2013
,2752.4,2752.4,07/01/2013,Opp-SUPSI-DTI-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,4497.71,4497.71,07/01/2013,Opp-SPERRHOLZ-PLATTEN AG-Q3 2013-1,Q3 2013
,1308.83,1308.83,07/01/2013,Opp-SMC PNEUMATIK AG-Q3 2013-1,Q3 2013
AUTOREN / EVERGREEN,1301.39,1301.39,07/01/2013,Opp-SAFIN REVISIONI E FIDUCIARIA S-Q3 2013-1,Q3 2013
,21119.04,21119.04,07/01/2013,Opp-Robert Bosch AG-Q3 2013-1,Q3 2013
,21956.84,21956.84,07/01/2013,Opp-Rail Cargo Austria-Q3 2013-1,Q3 2013
,4222.86,4222.86,07/01/2013,Opp-Allianz Elementar Wien-Q3 2013-2,Q3 2013
AUTOREN / EVERGREEN,1858.39,1858.39,07/01/2013,Opp-RENTES GENEVOISES-Q3 2013-1,Q3 2013
,2768.84,2768.84,07/01/2013,Opp-Praher Beteiligung-Q3 2013-1,Q3 2013
