Commit,Target Amount,Amount,Expiration Date,Name,Client Batch Quarter
Stretch,3572,3572,12/28/2013,Opp-IGEFI SA-Q4 2013-1,Q4 2013
Stretch,1139,1139,12/28/2013,Opp-HAUETER FRITZ AG-Q4 2013-1,Q4 2013
Stretch,1148.46,1148.46,12/31/2013,Opp-VAC RENE JUNOD SA-Q4 2013-1,Q4 2013
Stretch,505.46,505.46,12/31/2013,Opp-STVAR/SEDNA INFORMATIK AG-Q4 2013-1,Q4 2013
Stretch,,,12/31/2013,Opp-STOERI AG-Q4 2013-1,Q4 2013
AUTOREN / EVERGREEN,927.61,927.61,12/31/2013,Opp-AVADIS VORSORGE AG-Q4 2013-1,Q4 2013
Stretch,,,12/31/2013,Opp-B+R LOGISTIK AG-Q4 2013-1,Q4 2013
Stretch,77.93,77.93,12/31/2013,Opp-HOLCIM GROUP SUPPORT LTD.-Q4 2013-1,Q4 2013
Stretch,3054,3054,12/31/2013,Opp-FED VAUDOISE ENTREPRENEURS-Q4 2013-1,Q4 2013
Stretch,,,12/31/2013,Opp-ELEVITE AG-Q4 2013-1,Q4 2013
Stretch,35090,35090,01/01/2014,Opp-CONSITEX SA-Q1 2014-1,Q1 2014
